Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2016-01-01,Fog,Rain,Fog,Clear,Severe,Light,Severe,NA,0,0,0,0,0,FALSE
2016-01-02,Clear,Fog,Clear,Rain,NA,Severe,NA,Light,0,0,0,0,0,FALSE
2016-01-03,Rain,Rain,Clear,Precipitation,Light,Heavy,NA,UNK,0,0,0,0,0,FALSE
2016-01-04,Rain,Clear,Rain,Clear,Light,NA,Light,NA,0,0,0,0,0,FALSE
2016-01-05,Clear,Rain,Rain,Rain,NA,Light,Moderate,Light,0,0,0,0,0,FALSE
2016-01-06,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-07,Rain,Fog,Clear,Clear,Light,Severe,NA,NA,0,0,0,0,0,FALSE
2016-01-08,Snow,Fog,Rain,Snow,Light,Severe,Light,Light,0,0,0,0,0,FALSE
2016-01-09,Fog,Fog,Fog,Clear,Severe,Severe,Severe,NA,0,0,0,0,0,FALSE
2016-01-10,Clear,Rain,Clear,Clear,NA,Moderate,NA,NA,0,0,0,0,0,FALSE
2016-01-11,Clear,Clear,Fog,Rain,NA,NA,Severe,Light,0,0,0,0,0,FALSE
2016-01-12,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-14,Rain,Clear,Rain,Rain,Light,NA,Light,Light,0,0,0,0,0,FALSE
2016-01-15,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,0,FALSE
2016-01-16,Fog,Fog,Fog,Clear,Severe,Severe,Severe,NA,0,0,0,0,0,FALSE
2016-01-17,Rain,Clear,Rain,Clear,Light,NA,Moderate,NA,0,0,0,0,0,FALSE
2016-01-18,Snow,Snow,Snow,Fog,Light,Light,Light,Moderate,0,0,0,0,0,FALSE
2016-01-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-22,Clear,Rain,Rain,Rain,NA,Light,Moderate,Light,0,0,0,0,0,FALSE
2016-01-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-27,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-28,Rain,Rain,Rain,Rain,Moderate,Light,Moderate,Light,0,0,0,0,0,FALSE
2016-01-29,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-31,Clear,Clear,Fog,Clear,NA,NA,Severe,NA,0,0,0,0,0,FALSE
2016-02-01,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
