Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2016-01-01,Clear,Snow,Clear,Clear,NA,Light,NA,NA,0,0,0,0,0,FALSE
2016-01-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-04,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,0,0,0,0,0,FALSE
2016-01-05,Fog,Clear,Clear,Clear,Severe,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-06,Snow,Clear,Clear,Snow,Light,NA,NA,Light,0,0,0,0,0,FALSE
2016-01-07,Snow,Snow,Snow,Fog,Light,Light,Light,Severe,0,0,0,0,0,FALSE
2016-01-08,Snow,Snow,Snow,Snow,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-09,Snow,Snow,Snow,Snow,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-10,Clear,Clear,Cold,Cold,NA,NA,Severe,Severe,0,0,0,0,0,FALSE
2016-01-11,Snow,Cold,Fog,Snow,Light,Severe,Moderate,Light,0,0,0,0,0,FALSE
2016-01-12,Snow,Snow,Clear,Clear,Light,Light,NA,NA,0,0,0,0,0,FALSE
2016-01-13,Clear,Clear,Snow,Clear,NA,NA,Light,NA,0,0,0,0,0,FALSE
2016-01-14,Fog,Fog,Fog,Fog,Moderate,Moderate,Moderate,Moderate,0,0,0,0,0,FALSE
2016-01-15,Fog,Snow,Snow,Clear,Moderate,Light,Light,NA,0,0,0,0,0,FALSE
2016-01-16,Clear,Clear,Snow,Snow,NA,NA,Light,Light,0,0,0,0,0,FALSE
2016-01-17,Clear,Cold,Cold,Clear,NA,Severe,Severe,NA,0,0,0,0,0,FALSE
2016-01-18,Cold,Cold,Cold,Cold,Severe,Severe,Severe,Severe,0,0,0,0,0,FALSE
2016-01-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-20,Snow,Snow,Snow,Fog,Light,Light,Light,Moderate,0,0,0,0,0,FALSE
2016-01-21,Fog,Fog,Fog,Fog,Moderate,Moderate,Moderate,Moderate,0,0,0,0,0,FALSE
2016-01-22,Clear,Snow,Snow,Snow,NA,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-23,Clear,Snow,Snow,Fog,NA,Light,Light,Moderate,0,0,0,0,0,FALSE
2016-01-24,Fog,Fog,Snow,Snow,Severe,Severe,Light,Light,0,0,0,0,0,FALSE
2016-01-25,Snow,Fog,Cold,Snow,Light,Severe,Severe,Light,0,0,0,0,0,FALSE
2016-01-26,Snow,Snow,Snow,Snow,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-01-27,Clear,Clear,Snow,Fog,NA,NA,Light,Moderate,0,0,0,0,0,FALSE
2016-01-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-01-30,Rain,Clear,Clear,Rain,Light,NA,NA,Light,0,0,0,0,0,FALSE
2016-01-31,Cold,Clear,Clear,Cold,Severe,NA,NA,Severe,0,0,0,0,0,FALSE
2016-02-01,Fog,Fog,Fog,Fog,Moderate,Moderate,Moderate,Moderate,0,0,0,0,0,FALSE
2016-02-02,Cold,Snow,Snow,Snow,Severe,Light,Light,Light,0,0,0,0,0,FALSE
2016-02-03,Snow,Snow,Snow,Clear,Light,Light,Light,NA,0,0,0,0,0,FALSE
2016-02-04,Clear,Snow,Snow,Snow,NA,Light,Light,Light,0,0,0,0,0,FALSE
2016-02-05,Snow,Fog,Clear,Snow,Light,Moderate,NA,Light,0,0,0,0,0,FALSE
2016-02-06,Fog,Fog,Fog,Clear,Moderate,Moderate,Moderate,NA,0,0,0,0,0,FALSE
2016-02-07,Rain,Snow,Cold,Snow,Light,Light,Severe,Light,0,0,0,0,0,FALSE
2016-02-08,Snow,Snow,Snow,Snow,Light,Light,Light,Light,0,0,0,0,0,FALSE
2016-02-09,Snow,Snow,Clear,Clear,Light,Light,NA,NA,0,0,0,0,0,FALSE
2016-02-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-02-11,Snow,Clear,Clear,Snow,Light,NA,NA,Light,0,0,0,0,0,FALSE
2016-02-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-02-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2016-02-14,Snow,Snow,Snow,Clear,Light,Light,Light,NA,0,0,0,0,0,FALSE
